id,code,name,category_code,price,image,tax,cost,tax_method,quantity,barcode_symbology,type,details,alert_quantity
67,255117000000,DW13,0,50,,0,0,1,63,ean13,standard,1 BLUSA 8,20
68,270107000000,DW14,0,50,,0,0,1,84,ean13,standard,1 BLUSA LISA 7,20
69,275117000000,DW15,0,50,,0,0,1,0,ean13,standard,1 BLUSA MANGA LONGA 8,20
70,290117000000,DW16,0,50,,0,0,1,24,ean13,standard,1 BLUSA 7,20
71,260117000000,DW17,0,50,,0,0,1,0,ean13,standard,1 BLUSA MANGA LONGA 7,20
72,310117000000,DW18,0,55,,0,0,1,0,ean13,standard,1 BLUSA MANGA LONGA 8,20
73,310117000000,DW19,0,55,,0,0,1,0,ean13,standard,1 BLUSA MANGA LONGA 8,20
74,280117000000,DW20,0,50,,0,0,1,27,ean13,standard,1 BLUSA LISA 8,20
75,270117000000,DW21,0,50,,0,0,1,0,ean13,standard,1 BLUSA MANGA LONGA 8,20
76,290127000000,DW22,0,50,,0,0,1,0,ean13,standard,1 BLUSA MANGA LONGA 7,20
77,270127000000,DW23,0,50,,0,0,1,0,ean13,standard,1 BLUSA MANGA LONGA 8,20
78,270127000000,DW25,0,50,,0,0,1,0,ean13,standard,1 BLUSA LISA 7,20
79,350127000000,DW26,0,55,,0,0,1,0,ean13,standard,1 BLUSA ESTAMPADA 8,20
80,330127000000,DW29,0,55,,0,0,1,0,ean13,standard,1 BLUSA LISA 8,20
81,270127000000,DW30,0,100,,0,0,1,0,ean13,standard,1 CONJUNTO LISO 7,20
82,220127000000,DW30,0,100,,0,0,1,0,ean13,standard,1 CONJUNTO LISO 7,20
83,182067000000,DW38,0,35,,0,0,1,38,ean13,standard,2 BLUSA MANGA PRINCESA 8,20
84,340067000000,DW39,0,65,,0,0,1,6,ean13,standard,2 MACAQUINHO OMMBRO VAZADO DETALHE ALÇA 8,20
85,201067000000,DW44,0,25,,0,0,1,61,ean13,standard,2 BLUSA LISA OMBRO ALTERNADO 8,20
86,218067000000,DW46,0,30,,0,0,1,83,ean13,standard,2 BLUSA LISA M/C PRINCESA 8,20
87,208067000000,DW47,0,30,,0,0,1,54,ean13,standard,2 BLUSA LISA OMBRO VAZADO 8,20
88,215067000000,DW48,0,30,,0,0,1,66,ean13,standard,2 BLUSA LISA OMBRO VAZADO 8,20
