id,code,name,category_code,price,image,tax,cost,tax_method,quantity,barcode_symbology,type,details,alert_quantity
334,290115600185,MD185,8,50,,0,1,1,4,ean13,standard,1 BLUSA LISA 8,2
335,270115600186,MD186,7,50,,0,1,1,51,ean13,standard,1 BLUSA ESTAMPA 7,2
336,280115600187,MD187,8,50,,0,1,1,74,ean13,standard,1 BLUSA ESTAMPA 8,2
337,275115600188,MD188,7,50,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 7,2
338,245115600189,MD189,8,50,,0,1,1,0,ean13,standard,1 BLUSA ESTAMPA 8,2
339,280115600190,MD190,8,50,,0,1,1,0,ean13,standard,1 BLUSA 8,2
340,265115600191,MD191,7,50,,0,1,1,0,ean13,standard,1 BLUSA LISA 7,2
341,290115600192,MD192,8,50,,0,1,1,0,ean13,standard,1 BLUSA LISA 8,2
342,295115600193,MD193,8,50,,0,1,1,28,ean13,standard,1 BLUSA 8,2
343,295115600194,MD194,7,50,,0,1,1,0,ean13,standard,1 BLUSA ESTAMPA 7,2
344,295115600195,MD195,7,55,,0,1,1,0,ean13,standard,1 BLUSA LISA 7,2
345,280115600196,MD196,8,50,,0,1,1,141,ean13,standard,1 BLUSA 8,2
346,290115600197,MD197,8,50,,0,1,1,48,ean13,standard,1 BLUSA LISA 8,2
347,285115600198,MD198,7,50,,0,1,1,0,ean13,standard,1 BLUSA LISA 7,2
348,260115600199,MD199,8,50,,0,1,1,23,ean13,standard,1 BLUSA 8,2
349,290115600200,MD200,7,50,,0,1,1,0,ean13,standard,1 BLUSA ESTAMPA 7,2
350,305115600202,MD202,8,55,,0,1,1,28,ean13,standard,1 BLUSA LISA 8,2
351,250115600203,MD203,8,50,,0,1,1,49,ean13,standard,1 BLUSA ESTAMPA 8,2
352,280115600204,MD204,8,55,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 8,2
353,255115600205,MD205,7,50,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 7,2
354,290115600206,MD206,7,50,,0,1,1,0,ean13,standard,1 BLUSA LISA 7,2
355,235125600207,MD207,7,45,,0,1,1,0,ean13,standard,1 BLUSA LISA 7,2
356,275115600208,MD208,8,50,,0,1,1,0,ean13,standard,2 BLUSA MANGA CURTA 8,2
357,205115600209,MD209,8,45,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 8,2
358,285115600210,MD210,7,55,,0,1,1,0,ean13,standard,2 BLUSA MANGA CURTA 7,2
359,315115600211,MD211,7,50,,0,1,1,19,ean13,standard,2 BLUSA LISA 7,2
360,265115600212,MD212,7,50,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 7,2
361,260115600213,MD213,7,50,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 7,2
