id;code;name;category_id;price;image;tax;cost;tax_method;quantity;barcode_symbology;type;details;alert_quantity
1;250075800005;BL05;8;25;;0;;1;1;ean13;standard;2 BLUSA ESTAMPA 8;20
2;360125800014;BL14;7;80;;0;;1;1;ean13;standard;1 VESTIDO LISO 7;20
3;226065800020;BL20;8;30;;0;;1;49;ean13;standard;2 BLUSA LISA OMBRO ALTERNADO 8;20
4;370107700001;BS01;7;60;;0;;1;9;ean13;standard;2 CALÇA 7;20
5;370107700002;BS02;7;60;;0;;1;3;ean13;standard;2 CALÇA 7;20
6;370107700005;BS05;7;60;;0;;1;5;ean13;standard;1 CALÇA 7;20
7;350117700006;BS06;7;60;;0;;1;24;ean13;standard;1 CALÇA 7;20
8;370117700007;BS07;7;60;;0;;1;3;ean13;standard;1 CALÇA LISA 7;20
9;351067700020;BS20;8;70;;0;;1;4;ean13;standard;2 VESTIDO LISO ALÇA FINA 8;20
10;462067700021;BS21;8;85;;0;;1;5;ean13;standard;2 MACACÃO FLARE 8;20
11;170067700022;BS22;8;35;;0;;1;9;ean13;standard;2 BLUSA LISA MANGA CURTA 8;20
12;212067700023;BS23;8;40;;0;;1;23;ean13;standard;2 BLUSA LISA CORTE V 8;20
13;172067700024;BS24;8;30;;0;;1;75;ean13;standard;2 BLUSA LISA MANGA CURTA CORTE V 8;20
14;445067700025;BS25;8;85;;0;;1;33;ean13;standard;2 MACACÃO LISO MANGA CURTA 8;20
15;200067700026;BS26;8;35;;0;;1;37;ean13;standard;2 BLUSA ALCINHA CRUZADA 8;20
16;206067700027;BS27;8;25;;0;;1;8;ean13;standard;2 BLUSA LISA ALÇA DUPLA 8;20
17;185067700028;BS28;8;30;;0;;1;54;ean13;standard;2 BLUSA LISA OMBRO VAZADO 8;20
18;330067700029;BS29;8;65;;0;;1;11;ean13;standard;2 MACAQUINHO OMBRO ALTERNADO 8;20
19;245067700036;BS36;7;50;;0;;1;1;ean13;standard;2 SHORTS LISO 7;20
20;242067700037;BS37;8;55;;0;;1;3;ean13;standard;2 SHORTS LISO 8;20
21;330065700001;BY01;A;45;;0;;1;26;ean13;standard;VESTIDO S/M GOLA ALTA;20
22;260085700007;BY07;8;35;;0;;1;43;ean13;standard;2 SAIA 8;20
23;330085700009;BY09;8;45;;0;;1;8;ean13;standard;2 SAIA 8;20
24;330085700010;BY10;8;40;;0;;1;26;ean13;standard;2 SAIA 8;20
25;445125700011;BY11;8;85;;0;;1;26;ean13;standard;1 VESTIDO ESTAMPADO 8;20
26;197069800001;CM01;8;35;;0;;1;65;ean13;standard;2 BLUSA LISA CORTE V 8;20
27;200069800002;CM02;8;40;;0;;1;9;ean13;standard;2 BLUSA LISA MANGA CURTA 8;20
28;205069800004;CM04;8;40;;0;;1;13;ean13;standard;2 BLUSA LISA OMBRO VAZADO 8;20
29;200069800005;CM05;8;30;;0;;1;91;ean13;standard;2 BLUSA LISA MANGA BUFANTE 8;20
30;197079800008;CM08;8;30;;0;;1;26;ean13;standard;2 BLUSA LISA OMBRO VAZADO 8;20
31;200079800009;CM09;8;30;;0;;1;79;ean13;standard;2 BLUSA LISA MANGA CURTA 8;20
32;205079800010;CM10;8;30;;0;;1;65;ean13;standard;2 BLUSA LISA OMBRO VAZADO 8;20
33;32085270010;CQ10;7;40;;0;;1;1;ean13;standard;1 BLUSA 7;20
34;33085270013;CQ13;7;40;;0;;1;4;ean13;standard;1 LÃ 7;20
35;330128900001;CR01;8;70;;0;;1;4;ean13;standard;1 VESTIDO MANGA LONGA 8;20
36;450128900002;CR02;8;85;;0;;1;2;ean13;standard;1 MACACÃO 8;20
37;205059600004;CS04;7;20;;0;;1;42;ean13;standard;2 BLUSA LISA 7;20
38;;CS04C;7;35;;0;;1;15;ean13;standard;2 SAIA LISA 7;20
39;26085300009;CY09;7;30;;0;;1;7;ean13;standard;1 BLUSA 7;20
40;26085300010;CY10;7;30;;0;;1;2;ean13;standard;1 BLUSA 7;20
41;33085300011;CY11;8;25;;0;;1;2;ean13;standard;1 LÃ PLUS 8;20
42;33035300011;CY11;8;25;;0;;1;2;ean13;standard;1 LÃ PLUS 8;20
43;33085300012;CY12;8;30;;0;;1;16;ean13;standard;1 BLUSA 8;20
44;33085300013;CY13;8;25;;0;;1;3;ean13;standard;1 BLUSA INVERNO 8;20
45;33085300015;CY15;8;25;;0;;1;2;ean13;standard;1 LÃ PLUS 8;20
46;33085300016;CY16;8;30;;0;;1;16;ean13;standard;1 BLUSA 8;20
47;32085300017;CY17;8;30;;0;;1;9;ean13;standard;1 BLUSA 8;20
48;32085300018;CY18;8;30;;0;;1;4;ean13;standard;1 BLUSA 8;20
49;32085300019;CY19;8;30;;0;;1;20;ean13;standard;1 BLUSA 8;20
50;32085300021;CY21;8;30;;0;;1;9;ean13;standard;1 BLUSA 8;20
51;26085300022;CY22;7;30;;0;;1;8;ean13;standard;1 BLUSA 7;20
52;26085300023;CY23;7;30;;0;;1;18;ean13;standard;1 BLUSA 7;20
53;285116000001;DM01;8;50;;0;;1;18;ean13;standard;1 BLUSA LISA 8;20
54;270116000003;DM03;7;50;;0;;1;18;ean13;standard;1 BLUSA LISA 7;20
55;260096800001;DW01;8;55;;0;;1;15;ean13;standard;1 BLUSA LISA 8;20
56;270096800002;DW02;8;40;;0;;1;15;ean13;standard;1 BLUSA LISA 8;20
57;270106800003;DW03;7;50;;0;;1;56;ean13;standard;1 BLUSA LISA 7;20
58;290106800004;DW04;8;50;;0;;1;56;ean13;standard;1 BLUSA LISA 8;20
59;240106800005;DW05;8;50;;0;;1;56;ean13;standard;1 BLUSA 8;20
60;290106800006;DW06;8;50;;0;;1;4;ean13;standard;1 BLUSA 8;20
61;230106800007;DW07;8;45;;0;;1;257;ean13;standard;1 BLUSA 8;20
62;270106800008;DW08;7;50;;0;;1;73;ean13;standard;1 BLUSA LISA 7;20
63;280106800009;DW09;7;50;;0;;1;46;ean13;standard;1 BLUSA LISA 7;20
64;290106800010;DW10;7;55;;0;;1;46;ean13;standard;1 BLUSA MANGA LONGA 7;20
65;300116800011;DW11;7;50;;0;;1;86;ean13;standard;1 BLUSA 7;20
66;300116800012;DW12;8;50;;0;;1;4;ean13;standard;1 BLUSA 8;20
67;255116800013;DW13;8;50;;0;;1;63;ean13;standard;1 BLUSA 8;20
68;270106800014;DW14;7;50;;0;;1;84;ean13;standard;1 BLUSA LISA 7;20
69;275116800015;DW15;8;50;;0;;1;84;ean13;standard;1 BLUSA MANGA LONGA 8;20
70;290116800016;DW16;7;50;;0;;1;24;ean13;standard;1 BLUSA 7;20
71;260116800017;DW17;7;50;;0;;1;24;ean13;standard;1 BLUSA MANGA LONGA 7;20
72;310116800018;DW18;8;55;;0;;1;24;ean13;standard;1 BLUSA MANGA LONGA 8;20
73;310116800019;DW19;8;55;;0;;1;24;ean13;standard;1 BLUSA MANGA LONGA 8;20
74;280116800020;DW20;8;50;;0;;1;27;ean13;standard;1 BLUSA LISA 8;20
75;270116800021;DW21;8;50;;0;;1;27;ean13;standard;1 BLUSA MANGA LONGA 8;20
76;290126800022;DW22;7;50;;0;;1;27;ean13;standard;1 BLUSA MANGA LONGA 7;20
77;270126800023;DW23;8;50;;0;;1;27;ean13;standard;1 BLUSA MANGA LONGA 8;20
78;270126800025;DW25;7;50;;0;;1;27;ean13;standard;1 BLUSA LISA 7;20
79;350126800026;DW26;8;55;;0;;1;27;ean13;standard;1 BLUSA ESTAMPADA 8;20
80;330126800029;DW29;8;55;;0;;1;27;ean13;standard;1 BLUSA LISA 8;20
81;270126800030;DW30;7;100;;0;;1;27;ean13;standard;1 CONJUNTO LISO 7;20
82;220126800030;DW30;7;100;;0;;1;27;ean13;standard;1 CONJUNTO LISO 7;20
83;182066800038;DW38;8;35;;0;;1;39;ean13;standard;2 BLUSA MANGA PRINCESA 8;20
84;340066800039;DW39;8;65;;0;;1;6;ean13;standard;2 MACAQUINHO OMMBRO VAZADO DETALHE ALÇA 8;20
85;201066800044;DW44;8;25;;0;;1;65;ean13;standard;2 BLUSA LISA OMBRO ALTERNADO 8;20
86;218066800046;DW46;8;30;;0;;1;83;ean13;standard;2 BLUSA LISA M/C PRINCESA 8;20
87;208066800047;DW47;8;30;;0;;1;54;ean13;standard;2 BLUSA LISA OMBRO VAZADO 8;20
88;215066800048;DW48;8;30;;0;;1;66;ean13;standard;2 BLUSA LISA OMBRO VAZADO 8;20
89;888800070080;E80;8;20;;0;;1;1;ean13;standard;1 BLUSA INVERNO 8;20
90;250111500001;EQ01;8;50;;0;;1;68;ean13;standard;1 BLUSA ESTAMPA 8;20
91;240111500002;EQ02;8;45;;0;;1;52;ean13;standard;1 BLUSA ESTAMPA 8;20
92;240111500003;EQ03;8;50;;0;;1;72;ean13;standard;1 BLUSA ESTAMPA 8;20
93;255111500004;EQ04;8;50;;0;;1;32;ean13;standard;1 BLUSA ESTAMPA 8;20
94;280111500005;EQ05;8;50;;0;;1;42;ean13;standard;1 BLUSA ESTAMPA 8;20
95;310111500006;EQ06;8;55;;0;;1;10;ean13;standard;1 BLUSA LISA 8;20
96;315111500007;EQ07;8;55;;0;;1;10;ean13;standard;1 BLUSA LISA 8;20
97;290111500008;EQ08;7;55;;0;;1;49;ean13;standard;1 BLUSA LISA 7;20
98;138201913302;FL302;7;40;;0;;1;2;ean13;standard;1 MANGA LONGA LÃ 7;20
99;138201913310;FL310;7;25;;0;;1;2;ean13;standard;1 BLUSA 7;20
100;210069700002;FP02;8;40;;0;;1;23;ean13;standard;2 BLUSA M/C LAÇO LATERAL 8;20
101;48085410005;FR05;8;40;;0;;1;2;ean13;standard;2 VESTIDO LONGO 8;20
102;45585410005;FR05;8;40;;0;;1;2;ean13;standard;2 VESTIDO LONGO 8;20
103;45085410006;FR06;8;35;;0;;1;30;ean13;standard;2 VESTIDO BORDADO 8;20
104;52585410007;FR07;8;40;;0;;1;1;ean13;standard;2VESTIDO LONGO 8;20
105;300076400002;FW02;8;40;;0;;1;33;ean13;standard;2 SAIA 8;20
106;300076400004;FW04;8;35;;0;;1;14;ean13;standard;2 SAIA COM STRASS NA LATERAL 8;20
107;260096400006;FW06;8;35;;0;;1;14;ean13;standard;2 SAIA 8;20
108;340106400007;FW07;8;65;;0;;1;29;ean13;standard;1 CALÇA 8;20
109;320116400008;FW08;7;65;;0;;1;29;ean13;standard;1 CALÇA 7;20
110;320116400009;FW09;7;65;;0;;1;43;ean13;standard;1 CALÇA 7;20
111;345116400010;FW10;8;70;;0;;1;10;ean13;standard;1 CALÇA 8;20
112;340116400011;FW11;8;65;;0;;1;5;ean13;standard;2 SAIA 8;20
113;390116400012;FW12;7;70;;0;;1;19;ean13;standard;1 CALÇA LISA 7;20
114;390116400013;FW13;8;75;;0;;1;41;ean13;standard;1 CALÇA 8;20
115;390116400014;FW14;7;75;;0;;1;57;ean13;standard;1 CALÇA 7;20
116;90201931301;GL301;7;25;;0;;1;1;ean13;standard;1 BLUSA 7;20
117;260096900001;GQ01;8;50;;0;;1;207;ean13;standard;1 BLUSA 8;20
118;290096900002;GQ02;8;55;;0;;1;207;ean13;standard;1 BLUSA 8;20
119;260096900003;GQ03;8;50;;0;;1;46;ean13;standard;1 BLUSA 8;20
120;295106900004;GQ04;8;50;;0;;1;47;ean13;standard;1 BLUSA 8;20
121;210106900005;GQ05;8;45;;0;;1;47;ean13;standard;1 BLUSA 8;20
122;290106900006;GQ06;7;50;;0;;1;86;ean13;standard;1 BLUSA 7;20
123;280106900007;GQ07;7;50;;0;;1;38;ean13;standard;1 BLUSA 7;20
124;270106900008;GQ08;7;50;;0;;1;74;ean13;standard;1 BLUSA LISA 7;20
125;280106900009;GQ09;7;50;;0;;1;56;ean13;standard;1 BLUSA LISA 7;20
126;275106900010;GQ10;7;50;;0;;1;31;ean13;standard;1 BLUSA LISA 7;20
127;260106900011;GQ11;7;50;;0;;1;31;ean13;standard;1 BLUSA LISA 7;20
128;290106900012;GQ12;7;50;;0;;1;25;ean13;standard;1 BLUSA LISA 7;20
129;200106900013;GQ13;8;45;;0;;1;41;ean13;standard;1 BLUSA 8;20
130;260106900014;GQ14;7;50;;0;;1;25;ean13;standard;1 BLUSA 7;20
131;270116900015;GQ15;7;50;;0;;1;52;ean13;standard;1 BLUSA LISA 7;20
132;255116900016;GQ16;7;50;;0;;1;52;ean13;standard;1 BLUSA MANGA LONGA 7;20
133;280116900017;GQ17;8;50;;0;;1;52;ean13;standard;1 BLUSA LISA 8;20
134;270116900018;GQ18;7;50;;0;;1;18;ean13;standard;1 BLUSA LISA 7;20
135;290116900019;GQ19;8;50;;0;;1;34;ean13;standard;1 BLUSA LISA 8;20
136;270116900022;GQ22;7;50;;0;;1;45;ean13;standard;1 BLUSA LISA 7;20
137;295116900023;GQ23;7;50;;0;;1;29;ean13;standard;1 BLUSA LISA 7;20
138;295116900024;GQ24;7;50;;0;;1;29;ean13;standard;1 BLUSA LISA 7;20
139;250116900025;GQ25;7;50;;0;;1;29;ean13;standard;1 BLUSA LISA 7;20
140;250116900026;GQ26;8;50;;0;;1;140;ean13;standard;1 BLUSA ESTAMPA 8;20
141;280116900027;GQ27;8;50;;0;;1;27;ean13;standard;1 BLUSA LISA 8;20
142;295126900028;GQ28;1;55;;0;;1;27;ean13;standard;1 BLUSA LISA 1;20
143;310126900030;GQ30;8;55;;0;;1;32;ean13;standard;1 BLUSA ESTAMPA 8;20
144;295126900031;GQ31;8;50;;0;;1;32;ean13;standard;1 BLUSA MANGA LONGA 8;20
145;290126900032;GQ32;7;50;;0;;1;32;ean13;standard;1 BLUSA ESTAMPA 7;20
146;290126900033;GQ33;7;50;;0;;1;32;ean13;standard;1 BLUSA ESTAMPADA 7;20
147;290126900034;GQ34;8;55;;0;;1;16;ean13;standard;1 BLUSA LISA 8;20
148;295126900035;GQ35;8;50;;0;;1;16;ean13;standard;1 BLUSA LISA 8;20
149;285126900036;GQ36;7;55;;0;;1;35;ean13;standard;1 BLUSA LISA 7;20
150;238126900037;GQ37;7;45;;0;;1;35;ean13;standard;1 BLUSA LISA 7;20
151;338126900038;GQ38;8;55;;0;;1;35;ean13;standard;1 BLUSA LISA 8;20
152;273016900040;GQ40;7;50;;0;;1;35;ean13;standard;1 BLUSA ESTAMPADA 7;20
153;257016900042;GQ42;7;50;;0;;1;35;ean13;standard;1 BLUSA LISA 7;20
154;190056900043;GQ43;7;70;;0;;1;35;ean13;standard;2 MACAQUINHO LISO ALCINHA 7;20
155;194056900043;GQ43;7;70;;0;;1;35;ean13;standard;2 MACAQUINHO LISO ALCINHA 7;20
156;245066900045;GQ45;8;30;;0;;1;22;ean13;standard;2 BLUSA LISA OMBRO A OMBRO 8;20
157;290118100001;HJ01;7;50;;0;;1;114;ean13;standard;1 BLUSA LISA 7;20
158;410118100002;HJ02;8;90;;0;;1;114;ean13;standard;1 VESTIDO MANGA LONGA 8;20
159;290118100003;HJ03;8;50;;0;;1;114;ean13;standard;1 BLUSA LISA 8;20
160;255118100004;HJ04;8;50;;0;;1;114;ean13;standard;1 BLUSA ESTAMPA 8;20
161;460118100005;HJ05;8;100;;0;;1;114;ean13;standard;1 VESTIDO ESTAMPADO 8;20
162;420128100006;HJ06;7;85;;0;;1;114;ean13;standard;1 MACAQUINHO ESTAMPADO 7;20
163;450128100007;HJ07;7;90;;0;;1;114;ean13;standard;1 VESTIDO ESTAMPADO 7;20
164;270128100008;HJ08;7;50;;0;;1;114;ean13;standard;1 BLUSA LISA 7;20
165;255128100009;HJ09;7;50;;0;;1;114;ean13;standard;1 BLUSA LISA 7;20
166;210068100010;HJ10;8;35;;0;;1;86;ean13;standard;2 BLUSA LISA OMBRO VAZADO 8;20
167;185058100014;HJ14;8;15;;0;;1;86;ean13;standard;2 BLUSA LISA CIGANINHA MANGA CURTA 8;20
168;205058100015;HJ15;8;35;;0;;1;40;ean13;standard;2 BLUSA LISA OMBRO CAÍDO MANGA CURTA 8;20
169;400129100001;HL01;7;85;;0;;1;40;ean13;standard;1 VESTIDO ESTAMPADO 7;20
170;380129100002;HL02;7;80;;0;;1;40;ean13;standard;1 VESTIDO LISO 7;20
171;460129100004;HL04;8;90;;0;;1;40;ean13;standard;1 VESTIDO ESTAMPADO 8;20
172;440129100005;HL05;7;90;;0;;1;34;ean13;standard;1 VESTIDO ESTAMPA 7;20
173;235068400004;HS04;8;30;;0;;1;65;ean13;standard;2 BLUSA LISA MANGA BUFANTE 8;20
174;390069400007;JB07;7;70;;0;;1;22;ean13;standard;2 MACACÃO LISO ALCINHA 7;20
175;150079400010;JB10;8;30;;0;;1;7;ean13;standard;2 BLUSA COM ESTAMPA M/C 8;20
176;160079400011;JB11;8;35;;0;;1;1;ean13;standard;2 BLUSA M/C COM ESTAMPA 8;20
177;150079400012;JB12;8;30;;0;;1;7;ean13;standard;2 BLUSA COM ESTAMPA M/C 8;20
178;160079400014;JB14;8;35;;0;;1;4;ean13;standard;2 BLUSA COM ESTAMPA E AMARRAÇÃO M/C 8;20
179;155079400015;JB15;8;35;;0;;1;4;ean13;standard;2 BLUSA LISA COM ESTAMPA MC 8;20
180;150079400016;JB16;8;30;;0;;1;12;ean13;standard;2 BLUSA COM ESTAMPA M/C 8;20
181;160079400017;JB17;8;35;;0;;1;5;ean13;standard;2 BLUSA COM ESTAMPA M/C 8;20
182;140079400021;JB21;7;15;;0;;1;27;ean13;standard;2 BLUSA COM ESTAMPA OMBRO CAIDO 7;20
183;155079400022;JB22;7;15;;0;;1;78;ean13;standard;2 CROPPED OMBRO ALTERNADO 7;20
184;160079400026;JB26;8;30;;0;;1;78;ean13;standard;2 BLUSA M/C COM AMARRAÇÃO 8;20
185;128079400027;JB27;7;20;;0;;1;6;ean13;standard;2 BLUSA COM ESTAMPA M/C 7;20
186;175201923303;JF303;7;25;;0;;1;1;ean13;standard;1 BLUSA 7;20
187;100201901509;JF509;7;40;;0;;1;2;ean13;standard;1 BLUSA 7;20
188;150201901510;JF510;7;30;;0;;1;1;ean13;standard;1 BLUSA 7;20
189;150201901513;JF513;7;25;;0;;1;1;ean13;standard;1 BLUSA 7;20
190;150201901514;JF514;8;25;;0;;1;1;ean13;standard;1 MANGA LONGA 8;20
191;150201901519;JF519;7;25;;0;;1;1;ean13;standard;1 BLUSA 7;20
192;100201901521;JF521;7;25;;0;;1;1;ean13;standard;1 BLUSA 7;20
193;270115000001;JS01;7;50;;0;;1;42;ean13;standard;1 BLUSA LISA 7;20
194;290118300001;KZ01;7;55;;0;;1;8;ean13;standard;1 BLUSA LISA 7;20
195;300114300001;LP01;8;50;;0;;1;8;ean13;standard;1 BLUSA MANGA LONGA 8;20
196;460853500002;LP02;8;55;;0;;1;37;ean13;standard;2 VESTIDO BORDADO 8;20
197;460853500003;LP03;8;35;;0;;1;77;ean13;standard;2 VESTIDO BORDADO 8;20
198;460853500005;LP05;8;35;;0;;1;39;ean13;standard;2 VESTIDO BORDADO 8;20
199;460853500006;LP06;8;35;;0;;1;19;ean13;standard;2 VESTIDO BORDADO 8;20
200;460853500007;LP07;8;35;;0;;1;15;ean13;standard;2 VESTIDO BORDADO 8;20
201;460853500008;LP08;8;30;;0;;1;79;ean13;standard;2 VESTIDO GUIPIR 8;20
